1000000010	921
1000000009	940
1000000008	924
1000000007	872
1000000006	946
1000000005	912
1000000004	964
1000000003	899
1000000002	914
1000000001	953
1000000000	933
100000010	952
100000009	823
100000008	923
100000007	857
100000006	906
100000005	882
100000004	923
100000003	915
100000002	908
100000001	889
100000000	895
10000010	938
10000009	884
10000008	926
10000007	858
10000006	938
10000005	890
10000004	922
10000003	930
10000002	899
10000001	837
10000000	932
1000010	887
1000009	921
1000008	872
1000007	916
1000006	934
1000005	951
1000004	886
1000003	911
1000002	949
1000001	932
1000000	966
100010	910
100009	917
100008	914
100007	934
100006	935
100005	918
100004	909
100003	946
100002	883
100001	900
100000	899
10010	915
10009	900
10008	861
10007	885
10006	925
10005	880
10004	929
10003	922
10002	887
10001	903
10000	852
1010	920
1009	883
1008	924
1007	953
1006	950
1005	888
1004	896
1003	932
1002	925
1001	922
1000	914
110	938
109	895
108	882
107	906
106	866
105	879
104	924
103	920
102	859
101	892
100	946
20	933
19	900
18	887
17	954
16	926
15	907
14	876
13	913
12	938
11	1803
10	1821
9	907
8	921
7	875
6	880
5	930
4	869
3	888
2	882
1	921
