1000000010	933
1000000009	945
1000000008	920
1000000007	938
1000000006	879
1000000005	904
1000000004	890
1000000003	934
1000000002	970
1000000001	900
1000000000	899
100000010	911
100000009	912
100000008	911
100000007	856
100000006	945
100000005	917
100000004	937
100000003	904
100000002	926
100000001	905
100000000	890
10000010	930
10000009	918
10000008	942
10000007	926
10000006	918
10000005	944
10000004	911
10000003	876
10000002	905
10000001	920
10000000	880
1000010	881
1000009	884
1000008	910
1000007	883
1000006	908
1000005	909
1000004	921
1000003	876
1000002	885
1000001	883
1000000	945
100010	910
100009	889
100008	963
100007	906
100006	880
100005	938
100004	910
100003	968
100002	874
100001	909
100000	883
10010	981
10009	896
10008	965
10007	871
10006	919
10005	890
10004	933
10003	915
10002	909
10001	884
10000	881
1010	907
1009	943
1008	920
1007	958
1006	872
1005	916
1004	937
1003	841
1002	858
1001	941
1000	916
110	880
109	928
108	953
107	922
106	940
105	896
104	876
103	921
102	873
101	869
100	943
20	926
19	873
18	925
17	883
16	901
15	863
14	913
13	896
12	865
11	1808
10	1830
9	884
8	943
7	911
6	941
5	871
4	879
3	870
2	934
1	918
